,Journal,Publication_Date,URL_link,Wright_count,ford_count,gilliland_count,kasting_count,luhman_count,sigurdsson_count,wolszczan_count
0,Astronomy and Astrophysics,2011-11-00,2011A%26A...535A..55D,0,0,0,0,0,0,0
1,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,0,1,0,0,0,0,0
2,Nature,2011-02-00,2011Natur.470...53L,0,1,1,0,0,0,0
3,The Astrophysical Journal,2011-01-00,2011ApJ...726...52H,0,0,0,0,0,0,0
4,The Astrophysical Journal,2011-11-00,2011ApJ...742...59H,0,0,0,0,0,0,0
5,Astronomy and Astrophysics,2011-04-00,2011A%26A...528A.112L,0,0,0,0,0,0,0
6,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,0,1,0,0,0,0,0
7,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,0,1,0,0,0,0,0
8,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,0,1,0,0,0,0,0
9,Nature,2011-02-00,2011Natur.470...53L,0,1,1,0,0,0,0
10,The Astronomical Journal,2011-09-00,2011AJ....142...95K,0,0,0,0,0,0,0
11,The Astrophysical Journal,2011-03-00,2011ApJ...729...27B,0,1,1,0,0,0,0
12,Science,2012-09-00,2012Sci...337.1511O,0,1,0,0,0,0,0
13,The Astrophysical Journal,2012-01-00,2012ApJ...745...28G,0,0,0,0,0,0,1
14,The Astrophysical Journal,2012-01-00,2012ApJ...745...21F,1,0,0,0,0,0,0
15,Monthly Notices of the Royal Astronomical Society,2012-10-00,2012MNRAS.426..739H,0,0,0,0,0,0,0
16,Publications of the Astronomical Society of Japan,2012-12-00,2012PASJ...64..135S,0,0,0,0,0,0,0
17,The Astronomical Journal,2012-11-00,2012AJ....144..139H,0,0,0,0,0,0,0
18,Science,2012-08-00,2012Sci...337..556C,0,1,1,0,0,0,0
19,The Astrophysical Journal,2012-08-00,2012ApJ...755..102Y,0,0,0,0,0,0,0
20,The Astrophysical Journal,2012-07-00,2012ApJ...753..169W,0,0,0,0,0,0,0
21,Science,2012-09-00,2012Sci...337.1511O,0,1,0,0,0,0,0
22,The Astrophysical Journal,2012-04-00,2012ApJ...749...39R,0,0,0,0,0,0,0
23,The Astrophysical Journal,2012-05-00,2012ApJ...750...84B,0,0,0,0,0,0,0
24,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
25,Monthly Notices of the Royal Astronomical Society,2012-10-00,2012MNRAS.426..739H,0,0,0,0,0,0,0
26,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
27,The Astrophysical Journal,2012-10-00,2012ApJ...757..119B,0,0,0,0,0,0,0
28,Monthly Notices of the Royal Astronomical Society,2012-10-00,2012MNRAS.426..739H,0,0,0,0,0,0,0
29,The Astrophysical Journal,2012-09-00,2012ApJ...756...91H,0,0,0,0,0,0,0
30,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
31,The Astronomical Journal,2012-04-00,2012AJ....143...81S,0,0,0,0,0,0,0
32,The Astrophysical Journal,2012-01-00,2012ApJ...745...80Q,0,0,0,0,0,0,0
33,Nature,2012-01-00,2012Natur.481..475W,0,1,1,0,0,0,0
34,Publications of the Astronomical Society of Japan,2012-10-00,2012PASJ...64...97S,0,0,0,0,0,0,0
35,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
36,The Astronomical Journal,2012-07-00,2012AJ....144...19B,0,0,0,0,0,0,0
37,Monthly Notices of the Royal Astronomical Society,2012-12-00,2012MNRAS.427.1877C,0,0,0,0,0,0,0
38,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
39,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,0,1,1,0,0,0,0
40,The Astrophysical Journal,2012-01-00,2012ApJ...745...28G,0,0,0,0,0,0,1
41,The Astronomical Journal,2012-11-00,2012AJ....144..139H,0,0,0,0,0,0,0
42,The Astrophysical Journal,2012-09-00,2012ApJ...756...91H,0,0,0,0,0,0,0
43,Monthly Notices of the Royal Astronomical Society,2012-10-00,2012MNRAS.426..739H,0,0,0,0,0,0,0
44,Astronomy and Astrophysics,2012-09-00,2012A%26A...545A..55B,0,0,0,0,0,0,0
45,The Astrophysical Journal,2012-04-00,2012ApJ...749...39R,0,0,0,0,0,0,0
46,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
47,The Astrophysical Journal,2012-09-00,2012ApJ...756L..33Q,0,0,0,0,0,0,0
48,Astronomy and Astrophysics,2012-11-00,2012A%26A...547A..61S,0,0,0,0,0,0,0
49,Astronomy and Astrophysics,2012-01-00,2012A%26A...537A..54R,0,0,0,0,0,0,0
50,Publications of the Astronomical Society of Japan,2012-12-00,2012PASJ...64..135S,0,0,0,0,0,0,0
51,The Astrophysical Journal,2012-01-00,2012ApJ...744....4G,1,0,0,0,0,0,0
52,Monthly Notices of the Royal Astronomical Society,2012-05-00,2012MNRAS.422.1988A,0,0,0,0,0,0,0
53,Monthly Notices of the Royal Astronomical Society,2012-10-00,2012MNRAS.426..739H,0,0,0,0,0,0,0
54,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
55,Monthly Notices of the Royal Astronomical Society,2012-05-00,2012MNRAS.422.1988A,0,0,0,0,0,0,0
56,The Astrophysical Journal,2012-07-00,2012ApJ...754...73B,0,0,0,0,0,0,0
57,The Astronomical Journal,2012-07-00,2012AJ....144...19B,0,0,0,0,0,0,0
58,The Astrophysical Journal,2012-01-00,2012ApJ...745...21F,1,0,0,0,0,0,0
59,Nature,2012-11-00,2012Natur.491..207D,0,0,0,0,0,0,0
60,Astronomy and Astrophysics,2012-01-00,2012A%26A...537A.136G,0,0,0,0,0,0,0
61,Monthly Notices of the Royal Astronomical Society,2012-10-00,2012MNRAS.426..739H,0,0,0,0,0,0,0
62,The Astronomical Journal,2012-07-00,2012AJ....144...19B,0,0,0,0,0,0,0
63,The Astrophysical Journal,2012-07-00,2012ApJ...754...50R,0,0,0,0,0,0,0
64,The Astrophysical Journal,2012-10-00,2012ApJ...758...87O,0,1,0,0,0,0,0
65,Astronomy and Astrophysics,2012-02-00,2012A%26A...538A.113D,0,0,0,0,0,0,0
66,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
67,The Astronomical Journal,2012-11-00,2012AJ....144..139H,0,0,0,0,0,0,0
68,Astronomy and Astrophysics,2012-05-00,2012A%26A...541A.149O,0,0,0,0,0,0,0
