,Journal,Publication_Date,URL_link,Ford_count,Wright_count,Wolszczan_count,Gilliland_count,Luhman_count,Sigurdsson_count,Kasting_count,,,
538,The Astrophysical Journal,2011-07-00,2011ApJ...736...19B,1,0,0,0,1,0,0,,,
387,The Astrophysical Journal,2010-04-00,2010ApJ...713L.136D,0,0,0,1,0,0,0,,,
400,The Astrophysical Journal,2010-04-00,2010ApJ...713L.140L,0,0,0,1,0,0,0,,ford,127
409,The Astrophysical Journal,2010-12-00,2010ApJ...724.1108J,0,0,0,1,0,0,0,,Wright,90
415,The Astrophysical Journal,2010-04-00,2010ApJ...713L.126B,0,0,0,1,0,0,0,,Wolz,9
698,The Astrophysical Journal,2013-09-00,2013arXiv1307.8128S,0,0,0,1,0,0,0,,Gilliand,5
195,The Astrophysical Journal,2007-11-00,2007ApJ...669.1354N,0,0,1,0,0,0,0,,Luhman,1
257,The Astrophysical Journal,2009-03-00,2009ApJ...693..276N,0,0,1,0,0,0,0,,Kasting,0
293,The Astrophysical Journal,2009-12-00,2009ApJ...707..768N,0,0,1,0,0,0,0,,Steinn,0
305,The Astrophysical Journal,2009-12-00,2009ApJ...707..768N,0,0,1,0,0,0,0,,total,232
314,The Astrophysical Journal,2009-12-00,2009ApJ...707..768N,0,0,1,0,0,0,0,,,
333,The Astrophysical Journal,2009-12-00,2009ApJ...707..768N,0,0,1,0,0,0,0,,,
613,The Astrophysical Journal,2012-01-00,2012ApJ...745...28G,0,0,1,0,0,0,0,,,
640,The Astrophysical Journal,2012-01-00,2012ApJ...745...28G,0,0,1,0,0,0,0,,,
682,The Astrophysical Journal,2012-01-00,2012ApJ...745...28G,0,0,1,0,0,0,0,,,
79,The Astrophysical Journal,2003-04-00,2003ApJ...586.1394F,0,1,0,0,0,0,0,,,
87,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,0,1,0,0,0,0,0,,,
88,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,0,1,0,0,0,0,0,,,
91,The Astrophysical Journal,2003-04-00,2003ApJ...586.1394F,0,1,0,0,0,0,0,,,
92,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,0,1,0,0,0,0,0,,,
93,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,0,1,0,0,0,0,0,,,
94,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,0,1,0,0,0,0,0,,,
95,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,0,1,0,0,0,0,0,,,
98,The Astrophysical Journal,2003-04-00,2003ApJ...586.1394F,0,1,0,0,0,0,0,,,
99,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,0,1,0,0,0,0,0,,,
121,The Astrophysical Journal,2004-12-00,2004ApJ...617..580B,0,1,0,0,0,0,0,,,
130,The Astrophysical Journal,2005-10-00,2005ApJ...632..638V,0,1,0,0,0,0,0,,,
131,The Astrophysical Journal,2005-01-00,2005ApJ...619..570M,0,1,0,0,0,0,0,,,
132,The Astrophysical Journal,2005-01-00,2005ApJ...619..570M,0,1,0,0,0,0,0,,,
135,The Astrophysical Journal,2005-10-00,2005ApJ...632..638V,0,1,0,0,0,0,0,,,
136,The Astrophysical Journal,2005-10-00,2005ApJ...632..638V,0,1,0,0,0,0,0,,,
140,The Astrophysical Journal,2005-10-00,2005ApJ...632..638V,0,1,0,0,0,0,0,,,
141,The Astrophysical Journal,2005-01-00,2005ApJ...619..570M,0,1,0,0,0,0,0,,,
143,The Astrophysical Journal,2005-01-00,2005ApJ...619..570M,0,1,0,0,0,0,0,,,
149,The Astrophysical Journal,2005-11-00,2005ApJ...633..465S,0,1,0,0,0,0,0,,,
153,The Astrophysical Journal,2005-01-00,2005ApJ...619..570M,0,1,0,0,0,0,0,,,
158,The Astrophysical Journal,2005-10-00,2005ApJ...632..638V,0,1,0,0,0,0,0,,,
159,The Astrophysical Journal,2005-10-00,2005ApJ...632..638V,0,1,0,0,0,0,0,,,
164,The Astrophysical Journal,2006-02-00,2006ApJ...637.1094F,0,1,0,0,0,0,0,,,
165,Publications of the Astronomical Society of the Pacific,2006-12-00,2006PASP..118.1685B,0,1,0,0,0,0,0,,,
169,The Astrophysical Journal,2006-12-00,2006ApJ...652.1724J,0,1,0,0,0,0,0,,,
172,The Astrophysical Journal,2006-02-00,2006ApJ...637.1094F,0,1,0,0,0,0,0,,,
192,The Astrophysical Journal,2007-11-00,2007ApJ...669.1336F,0,1,0,0,0,0,0,,,
205,The Astrophysical Journal,2007-11-00,2007ApJ...669.1336F,0,1,0,0,0,0,0,,,
209,The Astrophysical Journal,2007-08-00,2007ApJ...665..785J,0,1,0,0,0,0,0,,,
212,The Astrophysical Journal,2007-11-00,2007ApJ...669.1336F,0,1,0,0,0,0,0,,,
214,The Astrophysical Journal,2007-08-00,2007ApJ...665..785J,0,1,0,0,0,0,0,,,
216,The Astrophysical Journal,2007-11-00,2007ApJ...669.1336F,0,1,0,0,0,0,0,,,
226,The Astrophysical Journal,2007-11-00,2007ApJ...670..833J,0,1,0,0,0,0,0,,,
227,The Astrophysical Journal,2007-08-00,2007ApJ...665..785J,0,1,0,0,0,0,0,,,
231,The Astrophysical Journal,2007-11-00,2007ApJ...669.1336F,0,1,0,0,0,0,0,,,
239,The Astronomical Journal,2008-11-00,2008AJ....136.1901L,0,1,0,0,0,0,0,,,
241,The Astronomical Journal,2008-11-00,2008AJ....136.1901L,0,1,0,0,0,0,0,,,
244,The Astrophysical Journal,2008-03-00,2008ApJ...675..790F,0,1,0,0,0,0,0,,,
248,The Astrophysical Journal,2008-03-00,2008ApJ...675..784J,0,1,0,0,0,0,0,,,
268,The Astrophysical Journal,2008-03-00,2008ApJ...675..784J,0,1,0,0,0,0,0,,,
282,The Astrophysical Journal,2009-09-00,2009ApJ...702..989V,0,1,0,0,0,0,0,,,
298,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
301,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
303,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,0,1,0,0,0,0,0,,,
