,Bender_count,Journal,Kopparapu_count,Morehead_count,Nelson_count,Publication_Date,Robertson_count,Schwab_count,Sharon_count,URL_link
0,0,The Astrophysical Journal,0,0,0,2014-03-00,0,0,0,2014arXiv1402.6534R
1,0,The Astrophysical Journal,0,0,0,1988-08-00,0,0,0,1988ApJ...331..902C
2,0,Nature,0,0,0,1989-05-00,0,0,0,1989Natur.339...38L
3,0,Nature,0,0,0,1992-01-00,0,0,0,1992Natur.355..145W
4,0,Nature,0,0,0,1992-01-00,0,0,0,1992Natur.355..145W
5,0,The Astrophysical Journal,0,0,0,1993-08-00,0,0,0,1993ApJ...413..339H
6,0,Science,0,0,0,1994-04-00,0,0,0,1994Sci...264..538W
7,0,Nature,0,0,0,1995-11-00,0,0,0,1995Natur.378..355M
8,0,The Astrophysical Journal,0,0,0,1996-06-00,0,0,0,1996ApJ...464L.153B
9,0,The Astrophysical Journal,0,0,0,1996-06-00,0,0,0,1996ApJ...464L.147M
10,0,The Astrophysical Journal,0,0,0,1997-07-00,0,0,0,1997ApJ...483L.111N
11,0,The Astrophysical Journal,0,0,0,1997-01-00,0,0,0,1997ApJ...474L.115B
12,0,The Astrophysical Journal,0,0,0,1997-07-00,0,0,0,1997ApJ...483..457C
13,0,The Astrophysical Journal,0,0,0,1997-01-00,0,0,0,1997ApJ...474L.115B
14,0,The Astrophysical Journal,0,0,0,1997-01-00,0,0,0,1997ApJ...474L.115B
15,0,Astronomy and Astrophysics,0,0,0,1998-10-00,0,0,0,1998A%26A...338L..67D
16,0,Publications of the Astronomical Society of the Pacific,0,0,0,1998-12-00,0,0,0,1998PASP..110.1389B
17,0,The Astrophysical Journal,0,0,0,1999-12-00,0,0,0,1999ApJ...526..916B
18,0,The Astrophysical Journal,0,0,0,1999-07-00,0,0,0,1999ApJ...520..239M
19,0,The Astrophysical Journal,0,0,0,1999-07-00,0,0,0,1999ApJ...520..239M
20,0,Publications of the Astronomical Society of the Pacific,0,0,0,1999-01-00,0,0,0,1999PASP..111...50F
21,0,Publications of the Astronomical Society of the Pacific,0,0,0,1999-01-00,0,0,0,1999PASP..111...50F
22,0,The Astrophysical Journal,0,0,0,1999-12-00,0,0,0,1999ApJ...526..916B
23,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536..902V
24,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536..902V
25,0,Astronomy and Astrophysics,0,0,0,2000-01-00,0,0,0,2000A%26A...353L..33K
26,0,The Astrophysical Journal,0,0,0,2000-12-00,0,0,0,2000ApJ...545..504B
27,0,Astronomy and Astrophysics,0,0,0,2000-04-00,0,0,0,2000A%26A...356..590U
28,0,The Astrophysical Journal,0,0,0,2000-04-00,0,0,0,2000ApJ...533L.147K
29,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536L..43M
30,0,Astronomy and Astrophysics,0,0,0,2000-02-00,0,0,0,2000A%26A...354...99Q
31,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536..902V
32,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536..902V
33,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536L..43M
34,0,The Astrophysical Journal,0,0,0,2000-12-00,0,0,0,2000ApJ...545..504B
35,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536..902V
36,0,Astronomy and Astrophysics,0,0,0,2000-04-00,0,0,0,2000A%26A...356..599S
37,0,Astronomy and Astrophysics,0,0,0,2000-04-00,0,0,0,2000A%26A...356..590U
38,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536..902V
39,0,The Astrophysical Journal,0,0,0,2000-12-00,0,0,0,2000ApJ...544L.145H
40,0,The Astrophysical Journal,0,0,0,2000-06-00,0,0,0,2000ApJ...536..902V
