NAME,FIRSTREF,FIRSTURL,,
Kepler-101 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,
gamma Cep b,Campbell 1988,http://adsabs.harvard.edu/abs/1988ApJ...331..902C,,
HD 114762 b,Latham 1989,http://adsabs.harvard.edu/abs/1989Natur.339...38L,,
PSR B1257+12 A,Wolszczan 1992,http://adsabs.harvard.edu//abs/1992Natur.355..145W,,
PSR B1257+12 B,Wolszczan 1992,http://adsabs.harvard.edu//abs/1992Natur.355..145W,,
beta Gem b,Hatzes 1993,http://adsabs.harvard.edu/abs/1993ApJ...413..339H,,
PSR B1257+12 C,Wolszczan 1994,http://adsabs.harvard.edu//abs/1994Sci...264..538W,,
51 Peg b,Mayor 1995,http://adsabs.harvard.edu/abs/1995Natur.378..355M,,
47 UMa b,Butler 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.153B,,
70 Vir b,Marcy 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.147M,,
rho CrB b,Noyes 1997,http://adsabs.harvard.edu/abs/1997ApJ...483L.111N,,
tau Boo b,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,,
16 Cyg B b,Cochran 1997,http://adsabs.harvard.edu/abs/1997ApJ...483..457C,,
55 Cnc b,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,,
upsilon And b,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,,
GJ 876 b,Delfosse 1998 ,http://adsabs.harvard.edu/abs/1998A%26A...338L..67D,,
HD 187123 b,Butler 1998,http://adsabs.harvard.edu/abs/1998PASP..110.1389B,,
upsilon And d,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B,,
HD 210277 b,Marcy 1999,http://adsabs.harvard.edu/abs/1999ApJ...520..239M,,
HD 168443 b,Marcy 1999,http://adsabs.harvard.edu/abs/1999ApJ...520..239M,,
HD 195019 b,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F,,
HD 217107 b,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F,,
upsilon And c,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B,,
HD 177830 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,
HD 37124 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,
iota Hor b,Kurster 2000,http://adsabs.harvard.edu/abs/2000A%26A...353L..33K,,
BD -10 3166 b,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,,
HD 75289 b,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,,
HD 89744 b,Korzennik 2000,http://adsabs.harvard.edu/abs/2000ApJ...533L.147K,,
HD 16141 b,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,,
GJ 86 b,Queloz 2000,http://adsabs.harvard.edu/abs/2000A%26A...354...99Q,,
HD 134987 c,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,
HD 222582 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,
HD 46375 b,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,,
HD 52265 b,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,,
HD 187123 c,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,
HD 192263 b,Santos 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..599S,,
HD 130322 b,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,,
HD 134987 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,
epsilon Eri b,Hatzes 2000,http://adsabs.harvard.edu/abs/2000ApJ...544L.145H,,
HD 10697 b,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,
HD 209458 b,Henry 2000 ,http://adsabs.harvard.edu/abs/2000ApJ...529L..41H,,
epsilon Ret b,Butler 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..410B,,
HD 92788 b,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,,
HD 168443 c,Marcy 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..418M,,
HD 169830 b,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,,
HD 12661 b,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,,
HD 213240 b,Santos 2001,http://adsabs.harvard.edu/abs/2001A%26A...379..999S,,
